,id,name,short_description,thumbnail_url
566,164432197,[Giao hàng toàn quốc] Gia vị nấu phở bò Hà Nội DH Foods - Gói 24G,Thông tin sản phẩm đang được cập nhật...,https://salt.tikicdn.com/cache/280x280/ts/product/c7/f3/6e/cb4edea6c48e95045b1481d486829c93.jpg
567,168982946,Gia vị rắc cơm vị miso (Tanaka) 33gr,"       - Gia vị rắc cơm vị miso là nguyên liệu lấy vị của miso làm chủ đạo trộn với mè, đậu nành, bột cá và rong biển tạo nên một hỗn hợp rắc cơm có nhiều chất dinh dưỡng.   - Gia vị rắc cơm vị m...",https://salt.tikicdn.com/cache/280x280/ts/product/40/bf/43/750878c17787ffbf6488c51ce9be0479.jpg
568,136011793,Kệ gia vị cao cấp 3 tầng.Kệ đựng gia vị nhà bếp đa năng,"UY TÍN- CHẤT LƯỢNGCAM KẾT HỖ TRỢ ĐỔI TRẢ BẢO HÀNH TỐT NHẤTKỆ ĐỰNG GIA VỊ CAO CẤPSẢN PHẨM CỰC KÌ CẦN THIẾT CHO GIAN BẾP NHÀ BẠNKhông gian bếp thường rất bừa bộn vì có rất nhiều chai, lọ đường g...",https://salt.tikicdn.com/cache/280x280/ts/product/8f/31/b8/c427f5e986ff78dc64c78c4fa7581623.jpg
569,181656864,Sói Và Gia Vị XI,Sói Và Gia Vị Tập 11►Sói và Gia vị (Ookami to Koushinryou/Spice and Wolf) là một series light novel đình đám được phát hành vào năm 2006 của tác giả Isuna Hasekura. Sói & Gia vị đã tạo nên một cơ...,https://salt.tikicdn.com/cache/280x280/ts/product/75/0c/28/aa22ac9c9c96336eeeefb3bd97a40bb8.jpg
570,177749564,"Tiêu đen xay nhuyễn Vipep 50g chuyên dùng làm gia vị ứớp thực phẩm, nêm món xào, kho, canh","Tiêu đen xay Vipep được sản xuất từ 100% hạt tiêu nguyên chất trồng tại trang trại theo tiêu chuẩn châu Âu, đảm bảo tiêu chí “Không Màu Tổng Hợp, Không Chất Bảo Quản, Không Tạp Chất”Quy cách đóng gói:...",https://salt.tikicdn.com/cache/280x280/ts/product/29/99/83/1357fdf003b4e97e19af265d29fd74fa.jpg
571,172112735,Combo 2 hũ gia vị thủy tinh 500ml Đôi lọ đựng gia vị cute,"       Lọ thủy tinh đựng gia vị bộ đôi được làm bằng chất liệu thủy tinh cao cấp, có nắp đậy kín, an toàn và phong cách, giúp căn phòng bếp của bạn thêm hiện đại và sang trọng   - Gia vị là những...",https://salt.tikicdn.com/cache/280x280/ts/product/9b/f6/0b/84e9c2383cc30ae971bafad4fe78ed84.jpg
572,41621225,Combo 5 Gói Ngũ Vị Hương Thành Lộc (3g/Gói),"Combo 5 Gói Ngũ Vị Hương KTV Thành Lộc (3G/Gói) là đặc trưng của 5 vị: Mặn, đắng, chua, cay, ngọt. Mỗi sản phẩm ngũ vị hương được bán trên thị trường thì có các thành phần tương đối khác nhau. Riêng...",https://salt.tikicdn.com/cache/280x280/ts/product/d7/be/96/5da277a4d033f3877f5df3f654a4ebcf.jpg
573,153998434,Hũ gia vị 9034,"       Thông tin sản phẩm:   - Chất liệu: thuỷ tinh, nắp nhựa, muỗng gia vị nhựa   - Kích thước: 6.5x12.4cm   Hũ đựng gia vị, cafe, các loại hạó muỗng tiện lợi, giúp bảo quản gia vị, thực phẩm ...",https://salt.tikicdn.com/cache/280x280/ts/product/ea/b3/fb/7c0d7cd077b7c121c9e7ca87243526d9.jpg
574,171808455,LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA - Lọ đựng gia vị,       LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA   Thông tin sản phẩm:   - Xuất xứ : Trung Quốc   - Nhà SX và phân phối: GUANGXI PINGXIANG Shun Hong Import and Export Trade    - Địa chỉ: No.193 N...,https://salt.tikicdn.com/cache/280x280/ts/product/69/18/4f/643099a52c78a9bc336c96e1c5f9f007.jpg
575,164512860,LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA - Lọ đựng gia vị,"       LỌ ĐỰNG GIA VỊ THUỶ TINH KÈM THÌA    Với bộ đựng gia vị nhỏ xinh này, góc bếp gia đình trở nên đẹp mắt và gọn gàng hẳn lên   Lọ đựng gia vị được sản x...",https://salt.tikicdn.com/cache/280x280/ts/product/69/18/4f/4e1c689dae7b80ccbf1e28cbe2ac8255.jpg
576,172242943,Hũ đựng gia vị thuỷ tinh Hũ gia vị kèm muỗng Lọ đựng gia vị 250ml,       ̃  ̣ ̀ ̂̃ ̛̣ ̣ THÔNG TIN SẢN PHẨM - Chiều cao: 15cm - Đường kính đáy: 6.5cm - Dung tích: 250ml Chất liệu : thủy tinh cao cấp + Nắp nhựa kèm muỗng Sản phẩm hữu ích dành cho các mẹ thích nội ...,https://salt.tikicdn.com/cache/280x280/ts/product/e5/19/af/192d62b285cb6193975ac0b9911031a8.jpg
